Date;ENGI FP Equity;CS FP Equity;RTY Index;SPX Index;SX5E Index;SXXP Index
03/08/2022;12.37;23.43;1908.925;4155.17;3732.54;438.29
02/08/2022;12.506;22.175;1882.449;4091.19;3684.63;436.07
01/08/2022;12.418;22.335;1883.313;4118.63;3706.62;437.46
29/07/2022;12.06;22.45;1885.23;4130.29;3708.1;438.29
28/07/2022;12.046;21.96;1873.027;4072.43;3652.2;432.77
27/07/2022;11.75;21.795;1848.339;4023.61;3607.78;428.12
26/07/2022;11.49;21.41;1805.246;3921.05;3575.36;426.13
25/07/2022;11.64;21.425;1817.773;3966.84;3604.16;426.25
22/07/2022;11.416;21.21;1806.881;3961.63;3596.49;425.71
21/07/2022;11.422;21.25;1836.693;3998.95;3596.51;424.39
20/07/2022;11.47;21.195;1827.948;3959.9;3585.24;422.51
19/07/2022;11.506;21.40;1799.324;3936.69;3587.44;423.41
18/07/2022;11.198;21.115;1738.417;3830.85;3511.86;417.63
15/07/2022;11.032;20.95;1744.373;3863.16;3477.2;413.78
14/07/2022;10.874;20.75;1707.505;3790.38;3396.61;406.5
13/07/2022;10.862;21.335;1726.036;3801.78;3453.97;412.81
12/07/2022;10.852;21.75;1728.182;3818.8;3487.05;417.04
11/07/2022;10.782;21.44;1732.008;3854.43;3471.69;415.02
08/07/2022;10.834;21.605;1769.365;3899.38;3506.55;417.12
07/07/2022;10.628;21.225;1769.604;3902.62;3488.5;415.01
06/07/2022;10.384;20.685;1727.547;3845.08;3421.84;407.34
05/07/2022;10.554;20.38;1741.33;3831.39;3359.83;400.68
04/07/2022;10.988;21.785;#N/A;#N/A;3452.42;409.31
01/07/2022;11.194;21.725;1727.757;3825.33;3448.31;407.13
30/06/2022;10.966;21.66;1707.99;3785.38;3454.86;407.2
29/06/2022;11.39;22.00;1719.37;3818.83;3514.32;413.42
28/06/2022;11.488;22.29;1738.841;3821.55;3549.29;416.19
27/06/2022;11.368;22.035;1771.742;3900.11;3538.88;415.09
24/06/2022;11.346;22.465;1765.737;3911.74;3533.17;412.93
23/06/2022;11.442;21.96;1711.673;3795.73;3436.29;402.4
22/06/2022;11.558;22.42;1690.277;3759.89;3464.64;405.74
21/06/2022;11.462;22.635;1694.031;3764.79;3494;408.58
20/06/2022;11.514;22.715;#N/A;#N/A;3469.83;407.14
17/06/2022;11.254;22.49;1665.694;3674.84;3438.46;403.25
16/06/2022;11.322;22.595;1649.836;3666.77;3427.91;402.88
15/06/2022;12.212;23.055;1731.139;3789.99;3532.32;413.1
14/06/2022;11.958;22.39;1707.829;3735.48;3475.18;407.32
13/06/2022;12.10;22.115;1714.595;3749.63;3502.5;412.52
10/06/2022;12.258;22.58;1800.284;3900.86;3599.2;422.71
09/06/2022;12.46;23.41;1850.856;4017.82;3724.45;434.38
08/06/2022;12.474;23.335;1891.007;4115.77;3788.93;440.37
07/06/2022;12.598;23.685;1919.563;4160.68;3806.74;442.88
06/06/2022;12.602;23.895;1889.885;4121.43;3838.42;444.12
03/06/2022;12.474;23.505;1883.053;4108.54;3783.66;440.09
02/06/2022;12.43;23.48;1897.674;4176.82;3795.13;441.23
01/06/2022;12.48;23.50;1854.824;4101.23;3759.54;438.72
31/05/2022;12.496;23.51;1864.043;4132.15;3789.21;443.35
30/05/2022;12.554;24.12;#N/A;#N/A;3841.62;446.57
27/05/2022;12.70;24.27;1887.896;4158.24;3808.86;443.93
26/05/2022;12.742;23.96;1838.238;4057.84;3740.31;437.71
25/05/2022;12.782;23.635;1799.164;3978.73;3677.1;434.31
24/05/2022;12.596;23.365;1764.826;3941.48;3647.56;431.58
23/05/2022;12.864;23.425;1792.762;3973.75;3708.39;436.54
20/05/2022;12.642;23.12;1773.266;3901.36;3657.03;431.1
19/05/2022;12.474;23.045;1776.223;3900.79;3640.55;427.99
18/05/2022;12.364;23.42;1774.846;3923.68;3690.74;433.95
17/05/2022;12.252;23.585;1840.298;4088.85;3741.51;438.97
16/05/2022;11.632;23.04;1783.427;4008.01;3685.34;433.67
13/05/2022;11.36;23.005;1792.666;4023.89;3703.42;433.48
12/05/2022;11.082;22.655;1739.382;3930.08;3613.43;424.4
11/05/2022;11.29;22.96;1718.144;3935.18;3647.87;427.59
10/05/2022;10.99;22.47;1761.789;4001.05;3554.8;420.29
09/05/2022;11.006;22.24;1762.08;3991.24;3526.86;417.46
06/05/2022;11.138;22.795;1839.565;4123.34;3629.17;429.91
05/05/2022;11.276;24.675;1871.148;4146.87;3696.63;438.26
04/05/2022;11.388;25.16;1949.923;4300.17;3724.99;441.37
03/05/2022;11.348;25.49;1898.857;4175.48;3761.19;446.2
02/05/2022;11.242;25.185;1882.913;4155.38;3732.44;443.83
29/04/2022;11.322;25.46;1864.103;4131.93;3802.86;450.39
28/04/2022;11.34;25.69;1917.944;4287.5;3777.02;447.07
27/04/2022;11.164;25.705;1884.038;4183.96;3734.64;444.31
26/04/2022;11.446;25.93;1890.475;4175.2;3721.36;441.1
25/04/2022;11.56;25.775;1954.203;4296.12;3757.59;445.11
22/04/2022;12.078;26.63;1940.665;4271.78;3840.01;453.31
21/04/2022;12.164;27.09;1991.462;4393.66;3928.03;461.57
20/04/2022;12.006;27.155;2038.185;4459.45;3896.81;460.1
19/04/2022;11.686;26.59;2030.765;4462.21;3830.76;456.28
14/04/2022;11.654;27.00;2004.98;4392.59;3848.68;459.82
13/04/2022;11.612;26.66;2025.102;4446.59;3827.96;456.78
12/04/2022;11.448;26.775;1986.937;4397.45;3831.47;456.65
11/04/2022;11.52;26.50;1980.324;4412.53;3839.62;458.26
08/04/2022;11.614;25.765;1994.562;4488.28;3858.37;460.97
07/04/2022;11.544;25.485;2009.799;4500.21;3802.01;455.02
06/04/2022;11.754;25.71;2016.937;4481.15;3824.69;455.97
05/04/2022;11.784;25.76;2046.043;4525.12;3917.85;463.07
04/04/2022;12.00;26.24;2095.44;4582.64;3951.12;462.19
01/04/2022;11.926;26.77;2091.11;4545.86;3918.68;458.34
31/03/2022;11.934;26.565;2070.125;4530.41;3902.52;455.86
30/03/2022;12.07;26.53;2091.07;4602.45;3959.14;460.19
29/03/2022;12.09;26.81;2133.096;4631.6;4002.18;462.09
28/03/2022;11.826;25.87;2078.06;4575.52;3887.1;454.17
25/03/2022;11.798;25.715;2077.983;4543.06;3867.73;453.55
24/03/2022;11.808;25.67;2075.443;4520.16;3863.39;453.07
23/03/2022;11.982;25.715;2052.206;4456.24;3869.22;454.03
22/03/2022;12.31;26.005;2088.343;4511.61;3926.12;458.65
21/03/2022;12.064;25.54;2065.936;4461.18;3881.8;454.79
18/03/2022;12.072;25.475;2086.143;4463.12;3902.44;454.6
17/03/2022;12.086;25.605;2065.019;4411.67;3885.32;450.49
16/03/2022;11.78;25.56;2030.72;4357.86;3889.69;448.45
15/03/2022;11.534;25.065;1968.969;4262.45;3738.11;435.12
14/03/2022;11.428;24.875;1941.719;4173.11;3741.1;436.35
11/03/2022;11.07;24.10;1979.668;4204.31;3686.78;431.17
10/03/2022;11.072;23.635;2011.673;4259.52;3651.39;427.12
09/03/2022;11.248;24.34;2016.291;4277.88;3766.02;434.45
08/03/2022;10.484;22.565;1963.011;4170.7;3505.29;415.01
07/03/2022;10.10;22.22;1951.329;4201.09;3512.22;417.13
04/03/2022;10.732;22.255;2000.9;4328.87;3556.01;421.78
03/03/2022;11.322;23.49;2032.41;4363.49;3741.78;437.36
02/03/2022;12.078;23.325;2058.871;4386.54;3820.59;446.33
01/03/2022;12.386;23.23;2008.506;4306.26;3765.85;442.37
28/02/2022;14.268;24.275;2048.089;4373.94;3924.23;453.11
25/02/2022;14.416;24.77;2040.929;4384.65;3970.69;453.53
24/02/2022;13.716;24.53;1996.007;4288.7;3829.29;438.96
23/02/2022;14.39;26.12;1944.092;4225.5;3973.41;453.86
22/02/2022;14.402;26.30;1980.173;4304.76;3985.47;455.12
21/02/2022;14.298;26.57;#N/A;#N/A;3985.71;454.81
18/02/2022;14.48;26.92;2009.333;4348.87;4074.28;460.81
17/02/2022;14.404;27.19;2028.092;4380.26;4113.19;464.55
16/02/2022;14.132;28.00;2079.311;4475.01;4137.22;467.77
15/02/2022;14.23;28.12;2076.462;4471.07;4143.71;467.56
14/02/2022;14.298;27.575;2020.787;4401.67;4064.45;460.96
11/02/2022;14.538;28.42;2030.146;4418.64;4155.23;469.57
10/02/2022;14.568;28.61;2051.162;4504.08;4197.07;472.35
09/02/2022;14.308;28.75;2083.499;4587.18;4204.09;473.33
08/02/2022;14.282;28.575;2045.374;4521.54;4129.25;465.34
07/02/2022;14.108;27.95;2012.599;4483.87;4120.56;465.28
04/02/2022;14.104;27.47;2002.359;4500.53;4086.58;462.15
03/02/2022;14.06;28.255;1991.031;4477.44;4141.02;468.63
02/02/2022;13.858;28.51;2029.516;4589.38;4222.05;477.01
01/02/2022;13.72;28.255;2050.74;4546.54;4224.45;474.86
31/01/2022;13.554;27.955;2028.453;4515.55;4174.6;468.88
28/01/2022;13.558;27.93;1968.508;4431.85;4136.91;465.55
27/01/2022;13.672;28.14;1931.288;4326.51;4184.97;470.33
26/01/2022;13.374;27.83;1976.464;4349.93;4164.6;467.31
25/01/2022;13.13;27.145;2004.033;4356.45;4078.26;459.59
24/01/2022;13.172;26.765;2033.511;4410.13;4054.36;456.36
21/01/2022;13.546;27.515;1987.918;4397.94;4229.56;474.44
20/01/2022;13.732;27.83;2024.037;4482.73;4299.61;483.35
19/01/2022;13.504;28.005;2062.783;4532.76;4268.28;480.9
18/01/2022;13.754;28.60;2096.225;4577.11;4257.82;479.79
17/01/2022;13.85;28.54;#N/A;#N/A;4302.14;484.51
14/01/2022;13.886;28.29;2162.456;4662.85;4272.19;481.16
13/01/2022;13.886;28.215;2159.437;4659.03;4315.9;486.05
12/01/2022;13.756;27.92;2176.057;4726.35;4316.39;486.2
11/01/2022;13.538;27.845;2194.003;4713.07;4281.54;483.08
10/01/2022;13.334;27.405;2171.15;4670.29;4239.52;479.04
07/01/2022;13.25;27.47;2179.81;4677.03;4305.83;486.25
06/01/2022;13.20;27.315;2206.372;4696.05;4324.81;488.16
05/01/2022;13.28;27.05;2193.999;4700.58;4392.15;494.35
04/01/2022;13.34;27.005;2268.874;4793.54;4367.62;494.02
03/01/2022;13.19;26.50;2272.557;4796.56;4331.82;489.99
31/12/2021;13.014;26.185;2245.313;4766.18;4298.41;487.8
30/12/2021;13.072;26.285;2248.793;4778.73;4306.07;488.71
29/12/2021;13.148;26.255;2249.244;4793.06;4284.83;487.98
28/12/2021;13.124;26.31;2246.505;4786.35;4311.93;488.5
27/12/2021;12.92;26.12;2261.459;4791.19;4287.98;485.49
24/12/2021;12.868;25.895;#N/A;#N/A;4255.01;482.51
23/12/2021;12.886;25.885;2241.576;4725.79;4265.86;483.01
22/12/2021;12.862;25.535;2221.903;4696.56;4217.06;478.36
21/12/2021;12.952;25.41;2202.947;4649.23;4174.99;473.99
20/12/2021;12.758;24.88;2139.875;4568.02;4107.13;467.35
17/12/2021;12.958;25.38;2173.931;4620.64;4161.35;473.9
